PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,51,999,013,03,029,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,7,0,Por carro recolector,7 cuartos,Si,1,2,3 dormitorios,#NULL !,22015199901303,22015199901303029,220151999013030291,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,030,1,Area rural,Covacha,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Otros materiales,Otros materiales,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,1 cuarto,Si,1,3,Sin dormitorio,#NULL !,22015199901303,22015199901303030,220151999013030301,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,031,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,3,La queman,6 cuartos,Si,1,1,3 dormitorios,#NULL !,22015199901303,22015199901303031,220151999013030311,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,032,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Hormigón,Ladrillo o cemento,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,La queman,6 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199901303,22015199901303032,220151999013030321,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,033,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,1,La queman,4 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199901303,22015199901303033,220151999013030331,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,034,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,4,Por carro recolector,2 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199901303,22015199901303034,220151999013030341,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,035,1,Area rural,Covacha,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Otros materiales,Otros materiales,Otros materiales,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,7,Sin dormitorio,#NULL !,22015199901303,22015199901303035,220151999013030351,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,039,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199901303,22015199901303039,220151999013030391,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,040,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,7,0,Por carro recolector,2 cuartos,Si,1,4,1 dormitorio,#NULL !,22015199901303,22015199901303040,220151999013030401,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,041,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,1,Por carro recolector,3 cuartos,Si,1,6,3 dormitorios,#NULL !,22015199901303,22015199901303041,220151999013030411,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,03,042,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,"Cerámica, baldosa, vinil o mármol",Regular,Regular,Bueno,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,La queman,3 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199901303,22015199901303042,220151999013030421,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,04,001,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Regular,Bueno,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La queman,4 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199901304,22015199901304001,220151999013040011,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,04,002,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199901304,22015199901304002,220151999013040021,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,04,003,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Bueno,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,La entierran,5 cuartos,Si,1,15,4 dormitorios,#NULL !,22015199901304,22015199901304003,220151999013040031,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,04,004,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,4 cuartos,Si,1,3,3 dormitorios,#NULL !,22015199901304,22015199901304004,220151999013040041,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,04,005,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,5 cuartos,Si,1,5,3 dormitorios,#NULL !,22015199901304,22015199901304005,220151999013040051,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,04,006,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Bueno,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,1,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,2,1 dormitorio,#NULL !,22015199901304,22015199901304006,220151999013040061,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,013,04,007,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199901304,22015199901304007,220151999013040071,ORELLANA,ORELLANA,DAYUMA,220151999013
Orellana,01,51,999,014,01,001,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,3 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199901401,22015199901401001,220151999014010011,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,01,002,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199901401,22015199901401002,220151999014010021,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,01,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,1 cuarto,Si,1,9,1 dormitorio,#NULL !,22015199901401,22015199901401003,220151999014010031,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,01,004,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,La queman,1 cuarto,Si,1,4,1 dormitorio,#NULL !,22015199901401,22015199901401004,220151999014010041,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,001,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199901402,22015199901402001,220151999014020011,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,002,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,2 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199901402,22015199901402002,220151999014020021,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199901402,22015199901402003,220151999014020031,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,005,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199901402,22015199901402005,220151999014020051,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,006,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a red pública de alcantarillado,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La entierran,2 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199901402,22015199901402006,220151999014020061,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,007,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,2 cuartos,Si,1,8,2 dormitorios,#NULL !,22015199901402,22015199901402007,220151999014020071,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,008,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,2 cuartos,Si,1,2,1 dormitorio,#NULL !,22015199901402,22015199901402008,220151999014020081,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,010,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,2 cuartos,Si,1,9,2 dormitorios,#NULL !,22015199901402,22015199901402010,220151999014020101,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,011,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,2 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199901402,22015199901402011,220151999014020111,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,014,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199901402,22015199901402014,220151999014020141,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,015,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,Por carro recolector,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199901402,22015199901402015,220151999014020151,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,016,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,3 cuartos,Si,1,1,3 dormitorios,#NULL !,22015199901402,22015199901402016,220151999014020161,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,018,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,2 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199901402,22015199901402018,220151999014020181,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,019,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,2 cuartos,Si,1,5,1 dormitorio,#NULL !,22015199901402,22015199901402019,220151999014020191,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,020,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199901402,22015199901402020,220151999014020201,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,021,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,Por carro recolector,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199901402,22015199901402021,220151999014020211,ORELLANA,ORELLANA,DAYUMA,220151999014
Orellana,01,51,999,014,02,023,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,2 cuartos,Si,1,4,1 dormitorio,#NULL !,22015199901402,22015199901402023,220151999014020231,ORELLANA,ORELLANA,DAYUMA,220151999014
